transaction_id,store_id,customer_id,trip_id,channel_id,transaction_timestamp,sku_id,promo_id,quantity,unit_sales_price,gross_amount,discount_amount,net_amount,payment_method_id
1,3368,13078,681916,NULL,"2011-01-27 13:56:27",53043213,ISD-201101-53043213,1,1.8900,1.8900,0.0567,1.8333,NULL
2,3368,13078,1142169,NULL,"2010-01-07 16:06:28",1009829,ISD-201001-1009829,1,0.7900,0.7900,0.0790,0.7110,NULL
3,7619,16994,683103,NULL,"2011-01-31 18:40:02",38194411,ISD-201101-38194411,1,7.2900,7.2900,0.2187,7.0713,NULL
4,4479,24423,170953,NULL,"2011-01-10 10:11:13",77970911,ISD-201101-77970911,1,3.1900,3.1900,0.0957,3.0943,NULL
5,7636,30356,951758,NULL,"2011-01-01 13:11:43",51180511,ISD-201101-51180511,1,1.4900,1.4900,0.0447,1.4453,NULL
6,7636,30356,1381172,NULL,"2011-01-07 11:32:37",8279211,ISD-201101-8279211,1,0.8900,0.8900,0.0445,0.8455,NULL
7,7587,31083,865044,NULL,"2010-01-20 13:44:21",33201511,ISD-201001-33201511,1,9.4900,9.4900,0.4745,9.0155,NULL
8,4281,36521,1340562,NULL,"2010-01-04 17:37:57",14674811,ISD-201001-14674811,1,5.7900,5.7900,0.2316,5.5584,NULL
9,4281,36521,1340562,NULL,"2010-01-04 17:37:57",72522311,ISD-201001-72522311,1,3.9900,3.9900,0.1995,3.7905,NULL
10,4281,36521,1342331,NULL,"2010-01-31 17:02:24",42780111,ISD-201001-42780111,1,0.0000,0.0000,0.0000,0.0000,NULL
11,4281,36521,1342331,NULL,"2010-01-31 17:02:24",53129211,ISD-201001-53129211,1,3.9900,3.9900,0.1596,3.8304,NULL
12,4281,36521,1469922,NULL,"2011-01-09 11:59:53",25426111,ISD-201101-25426111,1,3.9900,3.9900,0.1197,3.8703,NULL
13,4281,36521,1469922,NULL,"2011-01-09 11:59:53",33442211,ISD-201101-33442211,1,3.0900,3.0900,0.1545,2.9355,NULL
14,4281,36521,1469922,NULL,"2011-01-09 11:59:53",58660811,ISD-201101-58660811,1,3.2900,3.2900,0.4935,2.7965,NULL
15,4281,36521,1470645,NULL,"2011-01-31 13:49:55",1651586,ISD-201101-1651586,1,7.1900,7.1900,0.2876,6.9024,NULL
16,7639,39936,594197,NULL,"2010-01-03 13:12:21",83864011,ISD-201001-83864011,1,3.4900,3.4900,0.5235,2.9665,NULL
17,7639,39936,953762,NULL,"2011-01-08 15:10:39",33182711,ISD-201101-33182711,1,3.2900,3.2900,0.1645,3.1255,NULL
18,7639,39936,953763,NULL,"2011-01-08 20:32:15",4973515,ISD-201101-4973515,1,7.4900,7.4900,0.3745,7.1155,NULL
19,7653,41802,1341672,NULL,"2010-01-21 12:58:13",53779011,ISD-201001-53779011,1,1.9900,1.9900,0.1990,1.7910,NULL
20,7587,50368,598476,NULL,"2010-01-30 14:26:22",32534311,ISD-201001-32534311,1,4.5900,4.5900,0.4590,4.1310,NULL
21,3363,56956,954263,NULL,"2011-01-11 09:23:07",1391043,ISD-201101-1391043,1,1.2500,1.2500,0.0625,1.1875,NULL
22,9381,63548,677219,NULL,"2011-01-06 20:34:56",91835011,ISD-201101-91835011,1,3.9900,3.9900,0.1197,3.8703,NULL
23,9381,63548,678987,NULL,"2011-01-14 11:26:10",37187911,ISD-201101-37187911,1,3.9900,3.9900,0.1197,3.8703,NULL
24,7695,66234,109681,NULL,"2010-01-17 17:01:59",6728811,ISD-201001-6728811,1,8.4900,8.4900,0.2547,8.2353,NULL
25,4105,66234,319579,NULL,"2010-01-11 13:47:18",44752137,ISD-201001-44752137,1,4.9900,4.9900,0.1497,4.8403,NULL
26,7695,66234,866789,NULL,"2010-01-30 13:11:29",1148769,ISD-201001-1148769,1,19.9900,19.9900,0.5997,19.3903,NULL
27,7625,69387,1208607,NULL,"2011-01-09 11:12:06",25995411,ISD-201101-25995411,1,3.9900,3.9900,0.1197,3.8703,NULL
28,7165,72098,1456911,NULL,"2010-01-15 19:18:59",44293611,ISD-201001-44293611,1,5.6900,5.6900,0.2276,5.4624,NULL
29,3127,74651,676728,NULL,"2011-01-05 12:06:25",3112122,ISD-201101-3112122,1,4.5900,4.5900,0.1836,4.4064,NULL
30,3127,74651,676728,NULL,"2011-01-05 12:06:25",33017913,ISD-201101-33017913,1,3.4900,3.4900,0.1745,3.3155,NULL
31,3127,74651,676728,NULL,"2011-01-05 12:06:25",33973011,ISD-201101-33973011,1,0.0000,0.0000,0.0000,0.0000,NULL
